date,display_name,new_postings_index,total_postings_index,sector_group,job_titles
2020-02-01,Accounting,100.0,100.0,Business & Finance,"accountant, financial analyst"
2020-02-01,Arts & Entertainment,100.0,100.0,Arts & Media,"designer, artist"
2020-02-01,Data & Analytics,100.0,100.0,Tech & Computing,"software engineer, full stack developer"
2020-02-01,Human Resources,100.0,100.0,Management,"recruiter, human resources manager"
2020-02-01,"IT Infrastructure, Operations & Support",100.0,100.0,Tech & Computing,"it manager, systems administrator"
2020-02-01,IT Systems & Solutions,100.0,100.0,Tech & Computing,"it manager, systems administrator"
2020-02-01,Marketing,100.0,100.0,Business & Finance,"marketing manager, digital marketer"
2020-02-01,Media & Communications,100.0,100.0,Arts & Media,"photographer, writer"
2020-02-01,Project Management,100.0,100.0,Management,"project manager, program manager"
2020-02-01,Scientific Research & Development,100.0,100.0,Science & Research,"scientist, laboratory assistant"
2020-02-01,Software Development,100.0,100.0,Tech & Computing,"software engineer, full stack developer"
2020-02-02,Accounting,100.59,100.3,Business & Finance,"accountant, financial analyst"
2020-02-02,Arts & Entertainment,99.99,99.86,Arts & Media,"designer, artist"
2020-02-02,Data & Analytics,99.98,99.97,Tech & Computing,"software engineer, full stack developer"
2020-02-02,Human Resources,100.46,99.72,Management,"recruiter, human resources manager"
2020-02-02,"IT Infrastructure, Operations & Support",100.33,99.91,Tech & Computing,"it manager, systems administrator"
2020-02-02,IT Systems & Solutions,99.44,99.61,Tech & Computing,"it manager, systems administrator"
2020-02-02,Marketing,101.42,99.97,Business & Finance,"marketing manager, digital marketer"
2020-02-02,Media & Communications,99.97,99.96,Arts & Media,"photographer, writer"
2020-02-02,Project Management,100.6,100.01,Management,"project manager, program manager"
2020-02-02,Scientific Research & Development,100.76,100.0,Science & Research,"scientist, laboratory assistant"
2020-02-02,Software Development,100.49,99.84,Tech & Computing,"software engineer, full stack developer"
2020-02-03,Accounting,100.77,100.56,Business & Finance,"accountant, financial analyst"
2020-02-03,Arts & Entertainment,99.98,99.74,Arts & Media,"designer, artist"
2020-02-03,Data & Analytics,99.77,99.84,Tech & Computing,"software engineer, full stack developer"
2020-02-03,Human Resources,100.95,99.68,Management,"recruiter, human resources manager"
2020-02-03,"IT Infrastructure, Operations & Support",100.73,99.83,Tech & Computing,"it manager, systems administrator"
2020-02-03,IT Systems & Solutions,99.38,99.43,Tech & Computing,"it manager, systems administrator"
2020-02-03,Marketing,102.56,99.99,Business & Finance,"marketing manager, digital marketer"
2020-02-03,Media & Communications,99.66,99.99,Arts & Media,"photographer, writer"
2020-02-03,Project Management,101.48,100.04,Management,"project manager, program manager"
2020-02-03,Scientific Research & Development,101.34,99.94,Science & Research,"scientist, laboratory assistant"
2020-02-03,Software Development,101.09,99.73,Tech & Computing,"software engineer, full stack developer"
2020-02-04,Accounting,100.34,100.57,Business & Finance,"accountant, financial analyst"
2020-02-04,Arts & Entertainment,99.16,99.46,Arts & Media,"designer, artist"
2020-02-04,Data & Analytics,98.39,99.72,Tech & Computing,"software engineer, full stack developer"
2020-02-04,Human Resources,100.76,99.67,Management,"recruiter, human resources manager"
2020-02-04,"IT Infrastructure, Operations & Support",99.96,99.57,Tech & Computing,"it manager, systems administrator"
2020-02-04,IT Systems & Solutions,99.28,99.18,Tech & Computing,"it manager, systems administrator"
2020-02-04,Marketing,102.88,99.99,Business & Finance,"marketing manager, digital marketer"
2020-02-04,Media & Communications,98.88,99.68,Arts & Media,"photographer, writer"
2020-02-04,Project Management,101.49,99.99,Management,"project manager, program manager"
2020-02-04,Scientific Research & Development,100.92,99.93,Science & Research,"scientist, laboratory assistant"
2020-02-04,Software Development,100.91,99.55,Tech & Computing,"software engineer, full stack developer"
2020-02-05,Accounting,99.54,100.57,Business & Finance,"accountant, financial analyst"
2020-02-05,Arts & Entertainment,98.43,99.37,Arts & Media,"designer, artist"
2020-02-05,Data & Analytics,97.49,99.67,Tech & Computing,"software engineer, full stack developer"
2020-02-05,Human Resources,101.06,99.7,Management,"recruiter, human resources manager"
2020-02-05,"IT Infrastructure, Operations & Support",99.6,99.48,Tech & Computing,"it manager, systems administrator"
2020-02-05,IT Systems & Solutions,99.54,99.08,Tech & Computing,"it manager, systems administrator"
2020-02-05,Marketing,102.77,100.03,Business & Finance,"marketing manager, digital marketer"
2020-02-05,Media & Communications,99.16,99.68,Arts & Media,"photographer, writer"
2020-02-05,Project Management,101.29,99.99,Management,"project manager, program manager"
2020-02-05,Scientific Research & Development,100.95,99.89,Science & Research,"scientist, laboratory assistant"
2020-02-05,Software Development,101.14,99.47,Tech & Computing,"software engineer, full stack developer"
2020-02-06,Accounting,98.73,100.7,Business & Finance,"accountant, financial analyst"
2020-02-06,Arts & Entertainment,97.88,99.26,Arts & Media,"designer, artist"
2020-02-06,Data & Analytics,97.27,99.63,Tech & Computing,"software engineer, full stack developer"
2020-02-06,Human Resources,101.71,99.8,Management,"recruiter, human resources manager"
2020-02-06,"IT Infrastructure, Operations & Support",99.43,99.46,Tech & Computing,"it manager, systems administrator"
2020-02-06,IT Systems & Solutions,99.56,99.01,Tech & Computing,"it manager, systems administrator"
2020-02-06,Marketing,102.83,100.09,Business & Finance,"marketing manager, digital marketer"
2020-02-06,Media & Communications,100.74,99.88,Arts & Media,"photographer, writer"
2020-02-06,Project Management,101.53,100.04,Management,"project manager, program manager"
2020-02-06,Scientific Research & Development,101.5,99.93,Science & Research,"scientist, laboratory assistant"
